,Calculated Scale Factor per frame
0,0.0296073485121
1,0.0289345758296
2,0.0286887750669
3,0.0289644694294
4,0.0292247275393
5,0.0289296448992
6,0.0461700807042
7,0.0512618057768
8,0.0518243484379
9,0.0525399353351
10,0.0519037447711
11,0.0548199423529
12,0.0469269869998
13,0.0489202222801
14,0.0481652779776
15,0.0441219616424
16,0.0503082121256
17,0.0465884635636
18,0.0509831285124
19,0.054329658667
20,0.0479901398773
21,0.0479152304924
22,0.0509986802137
23,0.0522925717723
24,0.0510951690864
25,0.0476659704205
26,0.0456231531883
27,0.0514048556787
28,0.0511559455816
29,0.0525254635099
30,0.0534791103833
31,0.0508668403727
32,0.046600746187
33,0.0472576979936
34,0.0448990602679
35,0.0483056389087
36,0.0508625930746
37,0.0513652870781
38,0.0482797158996
39,0.0516767246674
40,0.049092249238
41,0.047583901613
42,0.0514835185077
43,0.0482993390153
44,0.0531959658094
45,0.0460496984993
46,0.0508990558198
47,0.0465474923072
48,0.0415113308019
49,0.0415674800188
50,0.0420286543547
51,0.0422841372415
52,0.0413165401217
53,0.0398114783534
54,0.0434992607944
55,0.0435275956204
56,0.0427638027546
57,0.0425291820307
58,0.0414658339907
59,0.0407202161745
60,0.0416887320924
61,0.0429958979648
62,0.0417117380159
63,0.0401062825151
64,0.0484809686843
65,0.0529263851451
66,0.048562610434
67,0.0517598385327
68,0.0541957083383
69,0.0518408925721
70,0.0565417302115
71,0.0541468593409
72,0.048337665517
73,0.0536367715665
74,0.0524826424773
75,0.0537633039071
76,0.0558685125096
77,0.0543717386407
78,0.0545090185286
79,0.0529007091268
80,0.054747961229
81,0.0555540864741
82,0.052821613107
83,0.0530100584306
84,0.0535537926637
85,0.0525271537683
86,0.053004641236
87,0.0538970239942
88,0.0533869189722
89,0.0527927915627
90,0.0597728826158
91,0.0408369565695
92,0.0471992521551
93,0.0531836129345
94,0.0581936075673
95,0.0581050470182
96,0.0526699702812
97,0.0466628953473
98,0.0492754480641
99,0.0525566250712
100,0.040394012888
101,0.0482701910128
102,0.0556448333289
103,0.0545137132572
104,0.0583960326992
105,0.045558593811
106,0.0505751296502
107,0.0481012838937
108,0.0513527383376
109,0.0467367463993
110,0.0406625165071
111,0.0470704664184
112,0.0474973360127
113,0.0485252917575
114,0.0549966584229
115,0.0545750275012
116,0.0520403925741
117,0.0514125192677
118,0.0563810092713
119,0.0497246039177
120,0.0493154308182
121,0.0512683709285
122,0.0508788321207
123,0.0509902339732
124,0.0446712329025
125,0.0369533034634
126,0.0472995388132
127,0.0508711749156
128,0.050430273962
129,0.0504683320485
130,0.0519196076457
131,0.0517435099709
132,0.0525105049522
133,0.0419339381134
134,0.0417103010301
135,0.0423467287777
136,0.043637236441
137,0.0439759726264
138,0.0371647662337
139,0.0434498795533
140,0.0431820350432
141,0.0413673226576
142,0.0434074233473
143,0.0512827571566
144,0.0555764734467
145,0.0529302173332
146,0.0549045479072
147,0.049511076214
148,0.052524847212
149,0.0512503555592
150,0.0548929888609
151,0.0536929765716
152,0.0530558840898
153,0.0527592404441
154,0.0521593643721
155,0.0524536028797
156,0.0448178855703
157,0.0518272679258
158,0.0523282217714
159,0.0541561464079
160,0.0507980100416
161,0.0521323163355
162,0.0529411952327
163,0.0553420214477
164,0.0556247333387
165,0.0538640267704
166,0.0463720184927
167,0.0504670258659
168,0.0535748493137
169,0.0534823741923
170,0.0502183325859
171,0.0467282460549
172,0.0539325421307
173,0.0497813855801
174,0.0514566887477
175,0.0486151209634
176,0.0487033022471
177,0.0488218759459
178,0.0495178676036
179,0.0482851455471
180,0.0531447029435
181,0.0458873609911
182,0.047406269779
183,0.047670990788
184,0.0465836196398
185,0.0479635370664
186,0.0498320119447
187,0.0490363131857
188,0.0463158169587
189,0.0494536872411
190,0.0519906757816
191,0.0488729349818
192,0.0530686333365
193,0.0500859276463
194,0.0524676560152
195,0.0541323254198
196,0.0539043548862
197,0.0519339953441
198,0.0526129983498
199,0.0530437848289
200,0.0472665937827
201,0.0528415232031
202,0.0530955917162
203,0.0527523884124
204,0.0525816264119
205,0.0534116381395
206,0.0496245527356
207,0.0515347944741
208,0.0526632310042
209,0.0535846230989
210,0.050271397817
211,0.0540671216957
212,0.04226579216
213,0.052768559912
214,0.05114692483
215,0.054765837299
216,0.054561363894
217,0.0421966182213
218,0.0438105187486
219,0.0507241269801
220,0.0517774946187
221,0.051308061414
222,0.0507925036492
223,0.0517976636498
224,0.0521205188737
225,0.0524995763632
226,0.0538927214348
227,0.0522574756396
228,0.0491217345399
229,0.0494066473091
230,0.0494344747313
231,0.0490148193272
232,0.0490465028925
233,0.0482434713011
234,0.0485172197954
235,0.0479519769847
236,0.0490733000785
237,0.0471162534056
238,0.0503882363266
239,0.0508822858445
240,0.0494788601436
241,0.0503015545564
242,0.05029076545
243,0.0497372163166
244,0.0511109525383
245,0.0478164259881
246,0.0522634497963
247,0.0479459056634
248,0.0432309116747
249,0.0491414423046
250,0.0479134849056
251,0.0503004246124
252,0.0413017637122
253,0.0532911096968
254,0.0506830365078
255,0.0509833615109
256,0.046986086053
257,0.0470686253654
258,0.0506605508569
259,0.0491169074016
260,0.0489058063808
261,0.0499290629027
262,0.0532533195728
263,0.0529749445129
264,0.0535948216635
265,0.0535554152652
266,0.0391090684272
267,0.0520077473584
268,0.0506864504359
269,0.0535364722399
270,0.0534189117344
271,0.0525534416188
272,0.0539152118522
273,0.0490535921931
274,0.0527630419543
275,0.0515687480778
276,0.0522763735812
277,0.0533344047412
278,0.051398786863
279,0.0458339255157
280,0.0496323646346
281,0.0502402271107
282,0.0518184206001
283,0.0547311770325
284,0.055158735929
285,0.0519846216237
286,0.0522789294072
287,0.0525993599317
288,0.0558844389807
289,0.0508406248171
290,0.0494831810193
291,0.0493558825672
292,0.0576249704566
293,0.0583492099298
294,0.057705602777
295,0.0519491253923
296,0.058079249996
297,0.0590126093377
298,0.0522636214418
299,0.0526079787131
300,0.0535199955404
301,0.0532284656381
302,0.0546014318682
303,0.0513991133371
304,0.0519174254489
305,0.0540054703122
306,0.0546238294127
307,0.0542812802551
308,0.0509948778789
309,0.0551824820651
310,0.0515199556764
311,0.0494243430911
312,0.0574109521726
313,0.0561558386154
314,0.0558062555662
315,0.0567560572919
316,0.0546165046324
317,0.0570841173827
318,0.0536094673498
319,0.0577158623558
320,0.0570780869843
321,0.0567632740056
322,0.0455602911153
323,0.0512511694333
324,0.0491175427652
325,0.047804365174
326,0.0521067524139
327,0.0502012551918
328,0.0518116560499
329,0.0462857921858
330,0.0497696188604
331,0.0511478402751
332,0.0536241153705
333,0.0537888632004
334,0.048643601565
335,0.0481206680738
336,0.0467377193855
337,0.0502217412939
338,0.0510854314721
339,0.0507623082158
340,0.0497599867872
341,0.0501953683401
342,0.0506541887171
343,0.0525375381228
344,0.0497110976501
345,0.0528286130038
346,0.0494090089668
347,0.0509650805684
348,0.0529725947
349,0.0479394995038
350,0.049109500127
351,0.0502386698784
352,0.0525796787207
353,0.0560774604626
354,0.0523037078867
355,0.0530016353046
356,0.0518511558169
357,0.0468381490839
358,0.0420649138317
359,0.046125550874
360,0.0456516039374
361,0.0460136839884
362,0.0457346126963
363,0.0458529113678
364,0.0421756083287
365,0.046657477524
366,0.0456407548842
367,0.0475904600007
368,0.0417133913198
369,0.0449249179703
370,0.0459299321705
371,0.0463000874267
372,0.0452230466287
373,0.0420703612558
374,0.0431749293393
375,0.0435276610781
376,0.043810977676
377,0.0384834633665
378,0.0425824150278
379,0.0407244974953
380,0.0417450200065
381,0.0418608667627
382,0.0423224190471
383,0.0418265344949
384,0.043159253345
385,0.0418414543876
386,0.0435682743724
387,0.0419678013463
388,0.0486529627238
389,0.0482740064519
390,0.0514966956475
391,0.0523562786976
392,0.0497473102598
393,0.0512098084736
394,0.0483299207287
395,0.0561738837096
396,0.0462054315176
397,0.0483627397224
398,0.0483769325593
399,0.0547131743278
400,0.0541092839729
401,0.0527105161972
402,0.0553825365189
403,0.0536417647705
404,0.0534495396434
405,0.054223489883
406,0.0545712915602
407,0.0535688066797
408,0.049172101135
409,0.0466195338926
410,0.0475234587768
411,0.046765711918
412,0.049214061555
413,0.0491791120065
414,0.0395346834863
415,0.0491661103501
416,0.0491568296678
417,0.0500229116958
418,0.0508763588911
419,0.0511498065382
420,0.0498368310991
421,0.0497158181348
422,0.0497762742099
423,0.0507582212516
424,0.0465005773286
425,0.0476008073795
426,0.0476198730904
427,0.0503105292935
428,0.048957011276
429,0.0501881182448
430,0.0482811045351
431,0.0497342142737
432,0.0503518313699
433,0.050507935708
434,0.0464070273147
435,0.0424859233675
436,0.046829516221
437,0.0456277453411
438,0.0447978595873
439,0.0478088637315
440,0.0442635156999
441,0.0456955585316
442,0.0473992887361
443,0.0505319652795
444,0.049929302282
445,0.0506025735914
446,0.0500314235753
447,0.0494854473588
448,0.0489272764453
449,0.0505659931857
450,0.0504426965439
451,0.0486145168082
452,0.0487769502045
453,0.0496456329288
454,0.0521927640323
455,0.0542493597452
456,0.0534116357249
457,0.0553139133119
458,0.0490193691842
459,0.0489849484845
460,0.0429018648118
461,0.0457657965226
462,0.0521920882387
463,0.0483153136482
464,0.0505822575463
465,0.0504856124283
466,0.0520106870675
467,0.0452629240424
468,0.0505068793182
469,0.0490716692944
470,0.051292796278
471,0.0538390937202
472,0.0541419854451
473,0.0546237844192
474,0.0513829831109
475,0.0518294544054
476,0.0469452774585
477,0.0527111611721
478,0.047048435523
