,Calculated Scale Factor per frame
0,0.0395654159716
1,0.0396910302156
2,0.0392229823679
3,0.039558752865
4,0.0396111375375
5,0.0393161314486
6,0.0385747992295
7,0.0386301364773
8,0.0386987630302
9,0.0396327990689
10,0.0398975667931
11,0.0401189532462
12,0.0397123618526
13,0.0399279545895
14,0.0400712922809
15,0.0395945302497
16,0.0389729243824
17,0.0378338174635
18,0.0404188939266
19,0.0396381224127
20,0.0393568172887
21,0.038511416807
22,0.0400691044182
23,0.040069421443
24,0.0396925966449
25,0.0375217540662
26,0.0393114790322
27,0.0394026171583
28,0.0395919735477
29,0.0397844422588
30,0.0401486583913
31,0.0395510251013
32,0.0398845564829
33,0.0404314240122
34,0.0381537943772
35,0.0400022903301
36,0.0403915355248
37,0.0399437475963
38,0.0397220640323
39,0.040091297195
40,0.0397183949418
41,0.0403859756693
42,0.039888624004
43,0.0388917695659
44,0.040019485859
45,0.0396520263691
46,0.0407170663873
47,0.0398456199734
48,0.0391866093127
49,0.0409829770969
50,0.0401850018807
51,0.039757607282
52,0.0396629075831
53,0.0393547669765
54,0.0398904048416
55,0.0399928435624
56,0.0397163211038
57,0.0397563902755
58,0.0399407451986
59,0.040010891248
60,0.0398635678722
61,0.0398319499328
62,0.0401221135734
63,0.0394839951456
64,0.0395498366057
65,0.0403195530766
66,0.0403748427689
67,0.0399075130978
68,0.0400681893442
69,0.0398910802776
70,0.0402615485144
71,0.0399132350811
72,0.0396100754036
73,0.039840698351
74,0.0399098572068
75,0.0400553336212
76,0.0400169099646
77,0.038872763261
78,0.0401056633733
79,0.0398910110599
80,0.0392440141812
81,0.0396045036014
82,0.0396033977484
83,0.0395917888308
84,0.0395746219716
85,0.0397049887292
86,0.0399257310012
87,0.04020570543
88,0.0402486758139
89,0.0400773031431
90,0.0396636370098
91,0.0394807476517
92,0.0402261881269
93,0.0402745725658
94,0.0401198916847
95,0.0396236195921
96,0.0398960081217
97,0.0393929566328
98,0.0400637800578
99,0.0392731443992
100,0.0393045261529
101,0.0401605876429
102,0.0401778360443
103,0.0398028012454
104,0.0403043200431
105,0.0400944298738
106,0.0403806787068
107,0.0405476629902
108,0.039943752104
109,0.0400414909242
110,0.040828274591
111,0.0401147499864
112,0.0395102120015
113,0.0400183247697
114,0.040332929894
115,0.0396474908187
116,0.0394751373725
117,0.0400981254058
118,0.0396333338744
119,0.0392436264837
120,0.0394387957325
121,0.039408829736
122,0.0396855559151
123,0.0400076715546
124,0.0399110968666
125,0.0399162298914
126,0.0395401239244
127,0.0400943734566
128,0.0394501560045
129,0.0402521379489
130,0.0397131094219
131,0.0399274924407
132,0.0400144957099
133,0.0400242117451
134,0.0396944433729
135,0.0397214777351
136,0.0399937502512
137,0.0396952132716
138,0.0398484008553
139,0.0393074341005
140,0.0400436322425
141,0.039580616154
142,0.0401029066311
143,0.0399810111807
144,0.0395119889806
145,0.0389861788018
146,0.0393611535347
147,0.039345339124
148,0.0400754944222
149,0.03930648195
150,0.0397250463031
151,0.0399244961569
152,0.0396024005637
153,0.0389765889879
154,0.0394642900909
155,0.0395261377526
156,0.0402239965027
157,0.039936137164
158,0.0394414852755
159,0.0392262871571
160,0.0393877621372
161,0.0403845084207
162,0.0383918949395
163,0.0393021933136
164,0.0390224913747
165,0.0397137419027
166,0.0393014777211
167,0.0399634306009
168,0.0392211169796
169,0.0402981592929
170,0.0381495310794
171,0.0389346597797
172,0.0390589560758
173,0.0388996557727
174,0.0391844692919
175,0.0399219753116
176,0.0393514835021
177,0.0400458921449
178,0.039661809774
179,0.0388859252329
180,0.0382033969121
181,0.0390220613372
182,0.0398561464695
183,0.0395659521413
184,0.0400059324895
185,0.0393026820349
186,0.0390892794443
187,0.0396226298353
188,0.0397497930725
189,0.0380712421727
190,0.0393996934167
191,0.0385303875482
192,0.0393878585467
193,0.0395144773543
194,0.0404385048809
195,0.0389333176392
196,0.0390807298512
197,0.0398265454483
198,0.0400414653886
199,0.0399527222992
200,0.0381479024477
201,0.0388497514223
202,0.0390119450545
203,0.0386801645234
204,0.0403815541221
205,0.0399717374451
206,0.0393373841462
207,0.0388328049273
208,0.040144257592
209,0.0381360314597
210,0.0382312758285
211,0.0385310641923
212,0.0395778042288
213,0.0403502539418
214,0.0395464675158
215,0.0400389621953
216,0.0399231368144
217,0.0401264003764
218,0.038333542058
219,0.0382714980319
220,0.0391648127051
221,0.040637826364
222,0.0395897092935
223,0.0404278563893
224,0.0399905967563
225,0.0403345641619
226,0.0395093060141
227,0.0396290419951
228,0.0386733471526
229,0.0392497202955
230,0.0401306670188
231,0.0396838031054
232,0.0404638802862
233,0.0403690676828
234,0.040089534738
235,0.0398571776832
236,0.0385363607569
237,0.0392863712595
238,0.0404661388279
239,0.0399095214721
240,0.0396811511453
241,0.0403763339754
242,0.0396806110005
243,0.0404716982363
244,0.0400492775188
245,0.0394884806834
246,0.0401232371668
247,0.0394709202583
248,0.0408249491754
249,0.0396415661685
250,0.0396266727607
251,0.0398909616585
252,0.0403783130913
253,0.0398673269206
254,0.0400820324977
255,0.0404080537171
256,0.0401324979064
257,0.0396630718168
258,0.0396175506105
259,0.0405611395474
260,0.0401309843102
261,0.0398310341723
262,0.0404795342168
263,0.0408735763835
264,0.0403772438769
265,0.0397765862371
266,0.0401541146883
267,0.0392577585779
268,0.0402272998912
269,0.0397719745561
270,0.0395933791745
271,0.0392388465773
272,0.0403563060623
273,0.039560432537
274,0.039875450786
275,0.0393631654337
276,0.0408813610249
277,0.0400568019021
278,0.0400927002527
279,0.0392493084645
280,0.0404571320027
281,0.0399431249854
282,0.0409524605119
283,0.0401001244515
284,0.0400470895831
285,0.0397827694792
286,0.0400599780351
287,0.0395511549564
288,0.0396216555883
289,0.0395873712535
290,0.0393617215193
291,0.0400902657761
292,0.0395720395826
293,0.0401032384181
294,0.0400455249642
295,0.0405792072159
296,0.0394772506084
297,0.0389714561347
298,0.0398202666521
299,0.0395942946833
300,0.0393381599222
301,0.0391223079474
302,0.0406161423623
303,0.0397732335042
304,0.0399929861953
305,0.0395596598455
306,0.0392420877418
307,0.0392302263005
308,0.0399087580646
309,0.0401925321136
310,0.0398901375445
311,0.0401959338071
312,0.0396991323202
313,0.0400834726362
314,0.0400085872139
315,0.039801851152
316,0.040348411056
317,0.0395513350907
318,0.0400396531494
319,0.0399428287949
320,0.0394214725527
321,0.0397524262155
322,0.0399739322192
323,0.0397357491403
324,0.0395962023804
325,0.0396284266174
326,0.0394563161445
327,0.0403721145623
328,0.0392752607677
329,0.0396997714961
330,0.039233045272
331,0.038915629834
332,0.0395190283856
333,0.0395171071011
334,0.0395525352438
335,0.0395158663231
336,0.0394134234423
337,0.0398317125081
338,0.0395614273828
339,0.0389760584643
340,0.0395828027912
341,0.0397320788818
342,0.0392316897757
343,0.039996392974
344,0.0399713503869
345,0.0399004240808
346,0.039637581606
347,0.0391592670816
348,0.0396796973585
349,0.0391900432987
350,0.0396472896817
351,0.0390287752466
352,0.0396678214962
353,0.0400787262919
354,0.0394975603435
355,0.039726668558
356,0.0394235517043
357,0.0389839624443
358,0.039493473167
359,0.0394095353325
360,0.039493893887
361,0.0403827890436
362,0.0403822227369
363,0.0386897199725
364,0.0394138432013
365,0.0393751327527
366,0.039179778224
367,0.0392375572775
368,0.0393516062256
369,0.0399280389551
370,0.0398869799985
371,0.0400035888154
372,0.0381145269139
373,0.0384306630038
374,0.0388352866968
375,0.0389152593037
376,0.0390322982605
377,0.0396855920442
378,0.0395933990486
379,0.0398903579418
380,0.0403094662945
381,0.0396205290824
382,0.038688904085
383,0.0384540695925
384,0.0388104191292
385,0.0392625996297
386,0.038573507638
387,0.0403537900121
388,0.0403037498115
389,0.0417058821513
390,0.0401720009466
391,0.0387048232138
392,0.0389513275665
393,0.0389178278506
394,0.0391758476482
395,0.0390623134731
396,0.0403687499051
397,0.040009419849
398,0.0398445012834
399,0.0402582845236
400,0.0388851835855
401,0.0387710609122
402,0.0393683970854
403,0.0394637083747
404,0.0401648225441
405,0.0399741227046
406,0.040092059597
407,0.0399267129587
408,0.040279678061
409,0.0400693798405
410,0.0396557500041
411,0.0402694463696
412,0.0384234202778
413,0.0386509626282
414,0.039451988809
415,0.0405746595152
416,0.0396104419524
417,0.0403223768129
418,0.0396609134799
419,0.040017934322
420,0.0400833489922
421,0.0400602681593
422,0.0400817725301
423,0.0394883772372
424,0.0400779629454
425,0.0401921569763
426,0.0407753334927
427,0.0397783832514
428,0.03994828518
429,0.0395776550027
430,0.0400263427282
431,0.0396383241938
432,0.0396195842325
433,0.0402449026264
434,0.0404046615265
435,0.0396477046798
436,0.0405376250836
437,0.0404591618723
438,0.0403121512418
439,0.0399380871295
440,0.0402537388864
441,0.0392223938982
442,0.0404909107617
443,0.0391208350804
444,0.0396398432592
445,0.0399107496413
446,0.0399422236792
447,0.0394785581515
448,0.0392594487442
449,0.0398865185694
450,0.0397126274983
451,0.0397439363923
452,0.0389496633697
453,0.0398168232935
