,Calculated Scale Factor per frame
0,4.92172398621
1,4.84260136611
2,4.94761673166
3,4.92876617238
4,4.92192976128
5,4.91277200975
6,4.94770802177
7,4.91543244527
8,5.01828598443
9,4.97080316845
10,4.96721815972
11,4.95877992318
12,4.92147752932
13,4.97112983173
14,4.84452699445
15,4.8581766577
16,4.9397067024
17,4.97334702372
18,4.92000853428
19,4.92127981914
20,4.96815057854
21,4.90110995727
22,4.91970974707
23,4.93908078842
24,4.81158348894
25,4.97316011645
26,4.96615021121
27,5.0013683194
28,4.98166541609
29,4.97013314427
30,5.00602427758
31,5.00273497005
32,4.98592125823
33,4.8399039312
34,4.9749201179
35,4.88894968051
36,5.10195487923
37,4.7887409897
38,4.82747119391
39,4.97092513921
40,5.03031798025
41,4.96660099303
42,4.93715278188
43,4.91448071312
44,4.92792609285
45,4.93235765001
46,5.04115639338
47,4.89154989429
48,4.96542192019
49,4.9740573145
50,4.97383246831
51,4.84426051553
52,4.91231522621
53,5.0195241572
54,4.91003090205
55,4.93748120429
56,4.97057765852
57,4.96594202472
58,5.01347194166
59,5.03643459651
60,4.88219659678
61,4.84760285602
62,4.81191259118
63,4.9562957259
64,4.95900714159
65,4.95928701746
66,4.93079061401
67,4.98666615506
68,4.92345589807
69,4.92472929529
70,4.92040118101
71,4.86383130756
72,4.95860488198
73,4.9098627523
74,5.01056097446
75,4.90733727908
76,4.92130160065
77,4.91571672954
78,4.85693914064
79,4.95236317483
80,4.95274381423
81,4.88044181532
82,4.92859599277
83,4.93585356028
84,4.98233634134
85,4.91353515468
86,4.91629763
87,4.96527589562
88,5.02368790856
89,4.92757809094
90,4.91407980528
91,4.91110415527
92,4.9178402063
93,4.97244646867
94,4.84628955811
95,4.91695128382
96,4.86683474501
97,4.9494106408
98,4.96617098189
99,4.88757274466
100,4.96404449581
101,4.95603953467
102,4.97423425684
103,4.97136134339
104,4.88479737368
105,5.02262627571
106,4.96172711759
107,4.98411446095
108,4.92209303787
109,4.91426437994
110,4.88411980898
111,4.89792675928
112,5.06327506607
113,5.02240366459
114,4.92456079514
115,4.92187068478
116,4.96546804067
117,4.90243598829
118,5.02691014866
119,4.98689543211
120,4.9503580866
121,4.92082418405
122,4.98462736287
123,4.92017472757
124,4.96824509829
125,4.99932854621
126,4.91097299144
127,4.90133413165
128,4.96103128843
129,4.94828197852
130,4.91853795225
131,4.91038121286
132,4.96738882352
133,5.04699663382
134,4.95140610727
135,4.92316960561
136,4.96912562696
137,4.9551366077
138,4.93789863471
139,4.8630991769
140,5.01312163804
141,4.91670696826
142,4.91860068162
143,5.08206529329
144,4.96445387081
145,4.95253651712
146,5.06645104591
147,4.97671928848
148,4.969825186
149,5.0045540755
150,4.91626576572
151,4.95608498261
152,4.96508924564
153,4.83528670782
154,4.99496987057
155,5.02050448612
156,4.99381696118
157,4.86784537587
158,4.97413568776
159,4.98029708625
160,4.95697325216
161,4.91392478002
162,4.80338464197
163,4.86005231316
164,4.97493396258
165,4.97172763887
166,5.11536184106
167,4.90584733673
168,4.97689007307
169,4.97346102142
170,4.96216781472
171,4.96830527762
172,4.94912313392
173,4.95063071283
174,4.9116973064
175,4.96733496821
176,5.02576614838
177,4.9686832539
178,4.9503387199
179,4.98383716833
180,4.93006152174
181,4.93547065613
182,4.95294574484
183,4.84264349901
184,4.91813387413
185,4.91301457
186,5.06063625298
187,4.98484194145
188,4.94828408881
189,4.96475038536
190,4.86971499069
191,4.95373020595
192,4.85588540943
193,4.96946803408
194,5.03742657959
195,4.97164017079
196,4.93203627692
197,5.02152015991
198,4.97054739703
199,4.98062881979
200,4.99712475939
201,4.92814343246
202,5.16320337031
203,5.02215102311
204,5.02438275338
205,5.02650804968
206,4.993494302
207,4.98142259673
208,5.02070076643
209,4.95953147056
210,5.02753959364
211,4.89948542572
212,4.87705446561
213,4.97264898643
214,4.93272507691
215,4.97620936043
216,5.01245264189
217,4.97167045172
218,4.98038307359
219,5.06381370829
220,5.03346897848
221,4.91496929779
222,4.92931549687
223,4.9631043666
224,4.9091010719
225,4.92815607038
226,4.90924563478
227,4.90579078952
228,4.94012784748
229,4.96480943981
230,5.02129321707
231,4.96058272245
232,4.95782803197
233,4.96610079079
234,4.93759063745
235,4.91572191167
236,4.90932739521
237,4.906064153
238,4.82517979146
239,4.93367203937
240,4.96591696699
241,5.02349538795
242,4.96287339529
243,4.96484759489
244,4.96911440279
245,4.91534055529
246,5.00624080944
247,4.91756541401
248,4.91868222336
249,4.91446438039
250,4.98855832691
251,4.93531607663
252,4.86068848827
253,5.0688106769
254,4.930509566
255,4.89838986586
256,4.9418305389
257,4.99220214911
258,4.97586824734
259,4.9401509472
260,4.90479760229
261,4.96565453072
262,4.91767414
263,4.91497429732
264,4.9101370751
265,4.96990662767
266,4.98053520128
267,4.98182885068
268,4.91263462842
269,5.02540741716
270,4.96703579099
271,4.9295075094
272,5.03382488874
273,4.94479702688
274,4.95644203439
275,5.01358889293
276,4.87313054018
277,4.93419473946
278,4.9468697306
279,4.90920276507
280,4.94391009705
281,5.03488551271
282,4.84579912882
283,4.94721793981
284,4.94083191327
285,4.97660258119
286,5.00577487083
287,5.02411691298
288,4.94902051251
289,4.98698751775
290,5.07226787787
291,5.02284961714
292,5.01767680436
293,4.97065346312
294,4.90660795288
295,4.96687497737
296,4.9290305292
297,4.99708907489
298,4.91278049671
299,4.9577351149
300,4.89142156505
301,4.9150300702
302,4.97214735442
303,4.99971598184
304,4.97282342512
305,5.01894529902
306,5.01179409995
307,5.01531475641
308,5.00267901209
309,4.91952675777
310,4.88792569761
311,4.87947618397
312,4.98601744112
313,5.0464067438
314,4.96453473
315,4.91961075355
316,4.922120387
317,4.8793885416
318,4.91424001509
319,4.90038450595
320,4.96762881018
321,4.94622155883
322,5.00330303957
323,5.03032568757
324,4.91935719886
325,4.97253682814
326,4.97322646414
327,4.96402165998
328,4.90991823818
329,4.91259719797
330,5.00795136753
331,4.92668420524
332,4.89817374851
333,4.9627836188
334,4.92292039066
335,4.97137134016
336,4.97434563499
337,4.87613848851
338,4.95700120906
339,4.92981576354
340,4.9362258421
341,4.97386133037
342,4.97465811043
343,4.96109078376
344,4.9697646576
345,4.86862322066
346,4.9003123683
347,4.87775790887
348,4.95290563868
349,4.97226042186
350,4.9212685583
351,5.01980499523
352,4.90229489187
353,4.90018291303
354,4.95012856415
355,4.91099926765
356,4.85124092532
357,5.01962094854
358,5.00414725079
359,4.92360507671
360,4.89214118836
361,4.86875555482
362,4.97849857778
363,4.79587066697
364,4.97381504595
365,4.94357445348
366,4.91141671542
367,4.96627088934
368,4.87778554604
369,5.02357976317
370,4.94206619876
371,5.02101473458
372,4.90570963944
373,5.00733480662
374,4.91920580566
375,4.80300903742
376,4.93142511003
377,4.94814616642
378,4.92262631126
379,4.97561495154
380,4.90783800324
381,4.87851277898
382,4.97792297582
383,4.92754840199
384,4.8774725709
385,4.88364562553
386,4.93635570054
387,4.92428382139
388,4.91496767919
389,4.93036469238
390,4.89535487812
391,4.9273862693
392,4.87895112433
393,4.91311547539
394,4.93142133212
395,4.92181714453
396,4.91347409351
397,4.98121447026
398,5.03589766859
399,4.91755114139
400,4.94550841742
401,5.01793824265
402,4.93285600796
403,4.93038253608
404,4.89495759933
405,4.97632764531
406,4.91707682794
407,4.93234982919
408,4.99350962992
409,4.91832744202
410,4.97686877327
411,4.84910057666
412,4.91844192954
413,4.97656268155
414,4.92299258341
415,4.86602546371
416,4.86510079018
417,4.96533579948
418,4.94830057453
419,4.97150023869
420,4.97268536289
421,4.80192998483
422,4.86824825805
423,4.92890188137
424,4.95695001154
425,4.97756594858
426,4.86181846548
427,4.97857396467
428,4.98460738031
429,4.97499656171
430,4.82767666171
431,4.97989029456
432,4.9281620116
433,4.87042464596
434,5.0214419246
435,4.91433844553
436,4.97053825505
437,4.886801392
438,4.84064012861
439,4.88079819048
440,4.96360923454
441,4.92540751686
442,4.90762981179
443,4.92806032272
444,4.95458439603
445,4.90997560993
446,4.97702115598
447,4.96710956407
448,4.91400416948
449,4.87880379207
450,5.00547706473
451,4.97187659839
452,4.97933566931
453,4.90120764711
454,4.9735134942
455,4.93619163811
456,4.96590299636
457,4.9103935448
458,4.95369443031
459,4.85913925406
460,4.86107351533
461,4.96972176129
462,4.96466990524
463,4.88977376346
464,4.98048978113
465,4.89106231092
466,5.02042695896
467,4.87663438894
468,4.97845449493
469,4.95054425995
470,4.97508016576
471,4.91611380612
472,4.92085361352
473,4.97567729956
474,4.97376665072
475,5.06127678645
476,4.93090307221
477,4.90515238787
478,4.93758146879
479,4.92542629677
480,4.97844386133
481,4.92950173121
482,4.97858517871
483,4.90816138331
484,4.89429101377
485,5.00068136572
486,4.88937589356
487,4.87709803973
488,5.00776878368
489,4.85260734627
490,4.91984607393
491,4.83350511035
492,4.99672680128
493,4.92280858086
494,4.91297888395
495,4.88599018644
496,4.9177750405
497,4.91273964628
498,4.98068237533
499,4.85789093877
